,DBO gross,earnings,z-scoreX1,z-scoreY1,z-scoreX2,z-scoreY2,z-scoreX3,z-scoreY3,b1,b2,b3,a1,a2,a3,y_hat1,y_hat2,y_hat3,residuals1,residuals2,residuals3,squares1,squares2,squares3,residual squares1,residual squares2,residual squares3
0,9599586428.0,-18032000.0,-1.5909328668428357,-1.8739156999876074,,,0.13866093387209735,0.5217510456924179,0.06309998813676994,0.20161160108675694,0.24878099226102765,-598645527.9341464,-2482569804.439675,-2817870262.2781577,7088261.790551305,,-429675625.42482376,-25120261.790551305,,411643625.42482376,1.2372780289e+16,,2.9411308970434605e+17,631027552425831.9,,1.694504743528926e+17
1,11347347984.0,125572000.0,0.44655914503812816,0.5453464810290007,,,0.6000315852251977,0.6599079802447613,0.06309998813676994,0.20161160108675694,0.24878099226102765,-598645527.9341464,-2482569804.439675,-2817870262.2781577,117371995.24005389,,5134228.712533951,8200004.759946108,,120437771.28746605,1047881641000000.0,,4.7049439908446035e+17,67240078063138.83,,1.4505256752691982e+16
2,10019077364.0,29504000.0,-1.1019019528590128,-1.0730880974361083,,,0.24939732449393212,0.5674839503530137,0.06309998813676994,0.20161160108675694,0.24878099226102765,-598645527.9341464,-2482569804.439675,-2817870262.2781577,33558134.875633836,,-325314254.12223625,-4054134.875633836,,354818254.12223625,4057307809000000.0,,3.4793239275166035e+17,16436009589830.578,,1.2589599345835182e+17
3,10509435620.0,119276000.0,-0.5302558801267202,0.4392792775271445,,,0.37884113059575847,0.6538507947907242,0.06309998813676994,0.20161160108675694,0.24878099226102765,-598645527.9341464,-2482569804.439675,-2817870262.2781577,64499735.01200104,,-203322440.63116932,54776264.98799896,,322598440.6311693,679905625000000.0,,4.618968592280032e+17,3000439206035481.0,,1.0406975389766208e+17
4,9899361628.0,24552000.0,-1.2414632419599674,-1.1565132549553574,,,0.21779500042065,0.5627197854279197,0.06309998813676994,0.20161160108675694,0.24878099226102765,-598645527.9341464,-2482569804.439675,-2817870262.2781577,26004073.35424912,,-355097253.71357584,-1452073.3542491198,,379649253.71357584,4712685201000000.0,,3.421149619896032e+17,2108517026120.2896,,1.4413355584527507e+17
5,12445502384.0,175692000.0,1.7267571274978892,1.3897061124637269,,,0.8899202196758991,0.7081268708032656,0.06309998813676994,0.20161160108675694,0.24878099226102765,-598645527.9341464,-2482569804.439675,-2817870262.2781577,186665524.85239553,,278334170.0003476,-10973524.852395535,,-102642170.00034761,6804765081000000.0,,5.4176362999646035e+17,120418247686142.44,,1.053541506238026e+16
6,10607926384.0,48712000.0,-0.415438075486753,-0.7494955236013473,,,0.40484052838714946,0.585963368745826,0.06309998813676994,0.20161160108675694,0.24878099226102765,-598645527.9341464,-2482569804.439675,-2817870262.2781577,70714501.0519824,,-178819810.63470268,-22002501.051982403,,227531810.63470268,1979271121000000.0,,3.7096132274846035e+17,484110052542486.75,,5.17707248507062e+16
7,11642332592.0,166468000.0,0.79044403045887,1.234311594499762,,,0.6779010407380978,0.6992527477683166,0.06309998813676994,0.20161160108675694,0.24878099226102765,-598645527.9341464,-2482569804.439675,-2817870262.2781577,135985520.5053836,,78520792.1925044,30482479.49461639,,87947207.8074956,5368053289000000.0,,5.2827013661863174e+17,929181556139708.6,,7734711361134814.0
8,11137885920.0,113164000.0,0.20237407257959467,0.33631187793957373,,,0.5447382023437145,0.64797063000434,0.06309998813676994,0.20161160108675694,0.24878099226102765,-598645527.9341464,-2482569804.439675,-2817870262.2781577,104154941.48655057,,-46975951.410429,9009058.51344943,,160139951.410429,398521369000000.0,,4.536264193505175e+17,81163135298755.66,,2.564480403773456e+16
9,11215482488.0,95868000.0,0.2928340022574265,0.04493030999673612,,,0.5652219914498557,0.6313306872449647,0.06309998813676994,0.20161160108675694,0.24878099226102765,-598645527.9341464,-2482569804.439675,-2817870262.2781577,109051284.00680459,,-27671400.22733879,-13183284.006804585,,123539400.22733879,7112889000000.0,,4.306272382872032e+17,173798977204069.56,,1.5261983408530596e+16
10,11915536140.0,121744000.0,1.108937159430942,0.48085708220353923,,,0.7500207749547131,0.6562251807025037,0.06309998813676994,0.20161160108675694,0.24878099226102765,-598645527.9341464,-2482569804.439675,-2817870262.2781577,153224661.14310706,,146488641.95317745,-31480661.143107057,,-24744641.953177452,814702849000000.0,,4.6525760364994605e+17,991032026007130.5,,612297305390949.6
11,11231997272.0,115892000.0,0.3120864800124296,0.38226984032093714,,,0.5695815315855673,0.6505951538160638,0.06309998813676994,0.20161160108675694,0.24878099226102765,-598645527.9341464,-2482569804.439675,-2817870262.2781577,110093366.68128586,,-23562835.876842022,5798633.318714142,,139454835.87684202,514881481000000.0,,4.5730857523074605e+17,33624148364901.78,,1.9447651249436944e+16
12,11649123484.0,33600000.0,,,0.19620667815198733,0.44903538297576434,0.6796936870258895,0.5714245843459833,0.06309998813676994,0.20161160108675694,0.24878099226102765,-598645527.9341464,-2482569804.439675,-2817870262.2781577,,-133971367.57309484,80210237.04260159,,167571367.57309484,-46610237.042601585,,4.3681e+16,3.5278128623554605e+17,,2.8080163230317264e+16,2172514197167509.0
13,10822408836.0,-706000000.0,,,-0.5931700868894134,-1.139991264148041,0.46145918339952124,-0.1401215341111152,0.06309998813676994,0.20161160108675694,0.24878099226102765,-598645527.9341464,-2482569804.439675,-2817870262.2781577,,-300646631.39824915,-125460653.40356445,,-405353368.60175085,-580539346.5964355,,2.8153636e+17,2.1212773961260424e+16,,1.6431135343678688e+17,3.370259329466163e+17
