,DBO (x),PL,b,a,y_hat = a + bx
2015,11148780747.0,103856000.0,0.20040873314901556,-2268844833.8264656,-34531808.16406012
2016,11357225455.0,111667000.0,0.20040873314901556,-2268844833.8264656,7242331.697836399
2018,11892160011.0,110100000.0,0.20040873314901556,-2268844833.8264656,114447888.38342714
2019,11363364796.0,-149100000.0,0.20040873314901556,-2268844833.8264656,8472709.250016212
2021,4482808453.0,-1269800000.0,0.20040873314901556,-2268844833.8264656,-1370450870.8110375
2022,7368878393.0,-973600000.0,0.20040873314901556,-2268844833.8264656,-792057250.3561821
