,DBO,revenue,PL,zDBO,zRev,zPL
2015,11148780747.0,2946900000,103856000.0,0.515448384027228,-0.7674343685724868,0.7261694953407212
2016,11357225455.0,3235846000,111667000.0,0.5849195027130849,-0.5408707617944467,0.7388209805077587
2018,11892160011.0,5460800000,110100000.0,0.7632042017376442,1.2037237408296684,0.736282908909148
2019,11363364796.0,5471000000,-149100000.0,0.5869656419092115,1.2117215978311011,0.3164563879392161
2021,4482808453.0,2527900000,-1269800000.0,-1.7062081734187278,-1.0959737885333058,-1.4987426168871834
2022,7368878393.0,3911400000,-973600000.0,-0.7443295569684422,-0.01116641976052989,-1.0189871558096608
