,year,Q,DBO gross,movies,revenue,earnings,zDBO,zRev,zEarnings
0,2014.0,1.0,2399896607.0,302.0,622758000.0,-4508000.0,0.13866093387209738,-0.686877053843521,0.5217510456924179
1,2014.0,2.0,2836836996.0,332.0,726573000.0,31393000.0,0.6000315852251978,-0.4331064205369993,0.6599079802447613
2,2014.0,3.0,2504769341.0,348.0,633904000.0,7376000.0,0.24939732449393215,-0.6596312080713832,0.5674839503530137
3,2014.0,4.0,2627358905.0,340.0,712155000.0,29819000.0,0.3788411305957585,-0.4683505084916632,0.653850794790724
4,2015.0,1.0,2474840407.0,287.0,653124000.0,6138000.0,0.21779500042065003,-0.6126488686006771,0.5627197854279196
5,2015.0,2.0,3111375596.0,307.0,821079000.0,43923000.0,0.8899202196758993,-0.20209117735185136,0.7081268708032655
6,2015.0,3.0,2651981596.0,318.0,688840000.0,12178000.0,0.4048405283871495,-0.5253428729432507,0.5859633687458259
7,2015.0,4.0,2910583148.0,342.0,783857000.0,41617000.0,0.6779010407380979,-0.2930785155297192,0.6992527477683166
8,2016.0,1.0,2784471480.0,263.0,766017000.0,28291000.0,0.5447382023437146,-0.33668751324862634,0.6479706300043399
9,2016.0,2.0,2803870622.0,318.0,763962000.0,23967000.0,0.5652219914498557,-0.3417108591181529,0.6313306872449646
10,2016.0,3.0,2978884035.0,345.0,779771000.0,30436000.0,0.7500207749547132,-0.3030665404556976,0.6562251807025036
11,2016.0,4.0,2807999318.0,360.0,926096000.0,28973000.0,0.5695815315855673,0.05461768550949803,0.6505951538160637
12,2017.0,1.0,2912280871.0,281.0,1283400000.0,8400000.0,0.6796936870258896,0.9280296429622112,0.5714245843459832
13,2017.0,2.0,2705602209.0,312.0,1202300000.0,-176500000.0,0.4614591833995213,0.7297847037804079,-0.14012153411111516
14,2017.0,3.0,2562244996.0,337.0,1178700000.0,-42700000.0,0.31008656506742394,0.6720956709235577,0.3747777122358819
15,2017.0,4.0,2895259444.0,348.0,1416800000.0,-276400000.0,0.6617205560001166,1.2541193456361022,-0.5245642449486713
16,2018.0,1.0,2858379432.0,321.0,1383600000.0,17700000.0,0.6227785044372198,1.1729635875493467,0.6072135454149449
17,2018.0,2.0,3347412357.0,370.0,1442500000.0,22200000.0,1.139154295781979,1.3169417246369943,0.6245307846418618
18,2018.0,3.0,2734900097.0,371.0,1221400000.0,-100400000.0,0.4923951783547283,0.7764737091857402,0.15273222259296912
19,2018.0,4.0,2951468125.0,384.0,1413300000.0,170600000.0,0.7210719833745006,1.245563768729366,1.195614851591745
20,2019.0,1.0,2400027437.0,302.0,1200400000.0,-130200000.0,0.13879907885442477,0.7251402477453226,0.03805361615694137
21,2019.0,2.0,3261698580.0,368.0,1506100000.0,49400000.0,1.0486480800143532,1.4724087792851162,0.7292038750801153
22,2019.0,3.0,2812620625.0,342.0,1316800000.0,-54800000.0,0.5744612256453734,1.009674291157923,0.32821358009239415
23,2019.0,4.0,2889014247.0,350.0,1447700000.0,-13500000.0,0.6551261768118872,1.3296528674698596,0.48714735344165405
25,2020.0,2.0,4725480.0,30.0,18900000.0,-561200000.0,-2.3904292825192504,-2.162978070914364,-1.6205530742433256
26,2020.0,3.0,126154944.0,106.0,119500000.0,-905800000.0,-2.26221044006489,-1.9170663461093158,-2.9466687714867876
27,2020.0,4.0,193792471.0,150.0,162500000.0,-946100000.0,-2.1907911557105133,-1.8119549726836988,-3.101754269452288
28,2021.0,1.0,236495603.0,111.0,148300000.0,-567200000.0,-2.1457004011781886,-1.8466661704196001,-1.6436427265458815
29,2021.0,2.0,811084276.0,152.0,444700000.0,-344000000.0,-1.538985258801814,-1.1221310289462771,-0.7847076608908014
30,2021.0,3.0,1367417382.0,159.0,763200000.0,-224200000.0,-0.9515463908318551,-0.34357353043327665,-0.3236842699164348
31,2021.0,4.0,2067811192.0,175.0,1171700000.0,-134400000.0,-0.21199207985837434,0.6549845171100851,0.02189085954515222
32,2022.0,1.0,1344645095.0,134.0,785700000.0,-337400000.0,-0.9755919246174484,-0.28857339317568637,-0.7593090433579899
33,2022.0,2.0,2325778439.0,170.0,1166400000.0,-121600000.0,0.06039866215690805,0.6420289292227417,0.07114878445727152
34,2022.0,3.0,1923613844.0,187.0,968400000.0,-226900000.0,-0.3642518069172746,0.15802772135594695,-0.33407461345258493
35,2022.0,4.0,1774933958.0,206.0,990900000.0,-287700000.0,-0.5212447001673529,0.21302785861353724,-0.5680497567851516
